Verb – PA'AL<br>AP-ms<br>to write	Verb – PA'AL<br>כּוֹתֵב<br>kot<b>e</b>v
Verb – PA'AL<br>AP-fs<br>to write	Verb – PA'AL<br>כּוֹתֶבֶת<br>kot<b>e</b>vet
Verb – PA'AL<br>AP-mp<br>to write	Verb – PA'AL<br>כּוֹתְבִים<br>kotv<b>i</b>m
Verb – PA'AL<br>AP-fp<br>to write	Verb – PA'AL<br>כּוֹתְבוֹת<br>kotv<b>o</b>t
Verb – PA'AL<br>PERF-1s<br>to write	Verb – PA'AL<br>כָּתַבְתִּי<br>kat<b>a</b>vti
Verb – PA'AL<br>PERF-1p<br>to write	Verb – PA'AL<br>כָּתַבְנוּ<br>kat<b>a</b>vnu
Verb – PA'AL<br>PERF-2ms<br>to write	Verb – PA'AL<br>כָּתַבְתָּ<br>kat<b>a</b>vta
Verb – PA'AL<br>PERF-2fs<br>to write	Verb – PA'AL<br>כָּתַבְתְּ<br>kat<b>a</b>vt
Verb – PA'AL<br>PERF-2mp<br>to write	Verb – PA'AL<br>כְּתַבְתֶּם<br>ktavt<b>e</b>m
Verb – PA'AL<br>PERF-2fp<br>to write	Verb – PA'AL<br>כְּתַבְתֶּן<br>ktavt<b>e</b>n
Verb – PA'AL<br>PERF-3ms<br>to write	Verb – PA'AL<br>כָּתַב<br>kat<b>a</b>v
Verb – PA'AL<br>PERF-3fs<br>to write	Verb – PA'AL<br>כָּתְבָה<br>katv<b>a</b>
Verb – PA'AL<br>PERF-3p<br>to write	Verb – PA'AL<br>כָּתְבוּ<br>katv<b>u</b>
Verb – PA'AL<br>IMPF-1s<br>to write	Verb – PA'AL<br>אֶכְתֹּב ~ אכתוב<br>echt<b>o</b>v
Verb – PA'AL<br>IMPF-1p<br>to write	Verb – PA'AL<br>נִכְתֹּב ~ נכתוב<br>nicht<b>o</b>v
Verb – PA'AL<br>IMPF-2ms<br>to write	Verb – PA'AL<br>תִּכְתֹּב ~ תכתוב<br>ticht<b>o</b>v
Verb – PA'AL<br>IMPF-2fs<br>to write	Verb – PA'AL<br>תִּכְתְּבִי<br>tichtev<b>i</b>
Verb – PA'AL<br>IMPF-2mp<br>to write	Verb – PA'AL<br>תִּכְתְּבוּ<br>tichtev<b>u</b>
Verb – PA'AL<br>IMPF-2fp<br>to write	Verb – PA'AL<br>תִּכְתֹּבְנָה ~ תכתובנה<br>ticht<b>o</b>vna
Verb – PA'AL<br>IMPF-3ms<br>to write	Verb – PA'AL<br>יִכְתֹּב ~ יכתוב<br>yicht<b>o</b>v
Verb – PA'AL<br>IMPF-3fs<br>to write	Verb – PA'AL<br>תִּכְתֹּב ~ תכתוב<br>ticht<b>o</b>v
Verb – PA'AL<br>IMPF-3mp<br>to write	Verb – PA'AL<br>יִכְתְּבוּ<br>yichtev<b>u</b>
Verb – PA'AL<br>IMPF-3fp<br>to write	Verb – PA'AL<br>תִּכְתֹּבְנָה ~ תכתובנה<br>ticht<b>o</b>vna
Verb – PA'AL<br>IMP-2ms<br>to write	Verb – PA'AL<br>כְּתֹב!‏ ~ כתוב!‏<br>kt<b>o</b>v!
